VIN,Year,Make,Model,Type,Trim,Miles,Price,Location,Dealership,Engine,Transmission,Drivetrain,Exterior Color,Interior Color,Seating Capacity,Fuel Economy City,Fuel Economy Highway,Features,Listing URL,Image URL 1,Image URL 2,Image URL 3
WBX73EF03P5W63220,2023,BMW,X1,SUV,xDrive28i,34109,27949,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WBX73EF03P5W63220,WBX73EF03P5W63220.jpg,,
2FMPK4J95NBB05227,2022,Ford,Edge,SUV,SEL,59498,17300,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=2FMPK4J95NBB05227,2FMPK4J95NBB05227.jpg,,
WA1ACBF76SD002403,2025,Audi,Q7,SUV,Premium 45 TFSI® quattro® tiptronic®,17771,43384,Oakland CA,Audi Oakland,,,,Glacier White metallic,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WA1ACBF76SD002403,WA1ACBF76SD002403.jpg,,
1G1FB3DS5P0152831,2023,Chevrolet,Camaro,convertible,RWD Convertible 1LT,43309,25308,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=1G1FB3DS5P0152831,1G1FB3DS5P0152831.jpg,,
WBA73AK07R7R68106,2024,BMW,,sedan,i xDrive,16991,29511,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WBA73AK07R7R68106,WBA73AK07R7R68106.jpg,,
JTEEU5JR9P5297251,2023,Toyota,4Runner,SUV,SR5,35722,33787,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=JTEEU5JR9P5297251,JTEEU5JR9P5297251.jpg,,
JTEEU5JR3P5302850,2023,Toyota,4Runner,SUV,SR5,47990,32893,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=JTEEU5JR3P5302850,JTEEU5JR3P5302850.jpg,,
WA1ACBF75PD010113,2023,Audi,Q7,SUV,Premium 45 TFSI® quattro® tiptronic®,40812,33501,Oakland CA,Audi Oakland,,,,Carrara White,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WA1ACBF75PD010113,WA1ACBF75PD010113.jpg,,
3GNAXUEG3RS142675,2024,Chevrolet,Equinox,SUV,AWD LT,26220,20513,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=3GNAXUEG3RS142675,3GNAXUEG3RS142675.jpg,,
WBY73AW09RFR86835,2024,BMW,i4,sedan,eDrive40,6569,40842,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WBY73AW09RFR86835,WBY73AW09RFR86835.jpg,,
WA1EAAFY7S2029874,2025,Audi,Q5,SUV,Premium Plus 45 TFSI® quattro® S tronic®,9401,41061,Oakland CA,Audi Oakland,,,,Chronos Gray metallic,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WA1EAAFY7S2029874,WA1EAAFY7S2029874.jpg,,
YV4H600N6P1919869,2023,Volvo,XC90 Recharge Plug-In Hybrid,SUV,T8 Plus 6-Seater,24500,46604,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=YV4H600N6P1919869,YV4H600N6P1919869.jpg,,
2C4RC1BG5PR607283,2023,Chrysler,Pacifica,minivan,Touring L,89835,18245,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=2C4RC1BG5PR607283,2C4RC1BG5PR607283.jpg,,
JN8AY2BC8N9162952,2022,Nissan,Armada,SUV,SL 2WD,67815,26950,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=JN8AY2BC8N9162952,JN8AY2BC8N9162952.jpg,,
2FMPK4J95NBB00335,2022,Ford,Edge,SUV,SEL,59116,17497,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=2FMPK4J95NBB00335,2FMPK4J95NBB00335.jpg,,
WA1EECF39P1015427,2023,Audi,Q3 SUV,SUV,Premium Plus 45 TFSI® quattro® tiptronic®,31593,27295,Oakland CA,Audi Oakland,,,,Mythos Black metallic,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=WA1EECF39P1015427,WA1EECF39P1015427.jpg,,
2C3CDXBG4PH506171,2023,Dodge,Charger,sedan,SXT,54735,20188,Oakland CA,Audi Oakland,,,,,,,,,,https://www.audioakland.com/en/inventory/vehicle/?isdealer&market=usuc&vehicleId=2C3CDXBG4PH506171,2C3CDXBG4PH506171.jpg,,
